article_id,article_version,related_num,r_ncd_id,r_ncd_version,last_updated
52369,13,1,0,1,2025-04-29 23:04:18.650000
52369,16,1,0,1,2025-04-29 23:04:18.650000
52369,17,1,0,1,2025-04-29 23:04:18.650000
52370,119,1,0,1,2025-04-29 23:04:18.690000
52370,122,1,0,1,2025-04-29 23:04:18.690000
52370,125,1,0,1,2025-04-29 23:04:18.690000
52370,128,1,0,1,2025-04-29 23:04:18.690000
52370,130,1,0,1,2025-04-29 23:04:18.690000
52370,131,1,0,1,2025-04-29 23:04:18.690000
52370,135,1,0,1,2025-04-29 23:04:18.690000
52379,9,1,0,1,2025-04-29 23:04:18.900000
52379,10,1,0,1,2025-04-29 23:04:18.900000
52399,57,1,158,1,2025-04-29 23:04:18.913000
52399,61,1,158,1,2025-04-29 23:04:18.913000
52399,63,1,158,1,2025-04-29 23:04:18.913000
52399,65,1,158,1,2025-04-29 23:04:18.913000
52399,68,1,158,1,2025-04-29 23:04:18.913000
52399,71,1,158,1,2025-04-29 23:04:18.913000
52399,74,1,158,1,2025-04-29 23:04:18.913000
52399,75,1,158,1,2025-04-29 23:04:18.913000
52420,60,1,0,1,2025-04-29 23:04:19.210000
52420,63,1,0,1,2025-04-29 23:04:19.210000
52420,64,1,0,1,2025-04-29 23:04:19.210000
52421,22,1,0,1,2025-04-29 23:04:19.230000
52421,23,1,0,1,2025-04-29 23:04:19.230000
52423,83,1,0,1,2025-04-29 23:04:19.393000
52423,84,1,0,1,2025-04-29 23:04:19.393000
52430,11,1,1,1,2025-04-29 23:04:20.467000
52430,12,1,1,1,2025-04-29 23:04:20.467000
52432,14,1,0,1,2025-04-29 23:04:20.470000
52434,50,1,0,1,2025-04-29 23:04:20.277000
52434,51,1,0,1,2025-04-29 23:04:20.277000
52435,13,1,0,1,2025-04-29 23:04:20.470000
52435,14,1,0,1,2025-04-29 23:04:20.470000
52437,16,1,0,1,2025-04-29 23:04:20.470000
52437,17,1,0,1,2025-04-29 23:04:20.470000
52438,20,1,0,1,2025-04-29 23:04:20.470000
52438,22,1,0,1,2025-04-29 23:04:20.470000
52447,29,1,57,1,2025-04-29 23:04:20.287000
52447,30,1,57,1,2025-04-29 23:04:20.287000
52448,21,1,0,1,2025-04-29 23:04:19.773000
52448,23,1,0,1,2025-04-29 23:04:19.773000
52448,24,1,0,1,2025-04-29 23:04:19.773000
52450,80,1,0,1,2025-04-29 23:04:19.847000
52450,82,1,0,1,2025-04-29 23:04:19.847000
52450,83,1,0,1,2025-04-29 23:04:19.847000
52451,72,1,0,1,2025-04-29 23:04:19.973000
52451,75,1,0,1,2025-04-29 23:04:19.973000
52451,78,1,0,1,2025-04-29 23:04:19.973000
52451,81,1,0,1,2025-04-29 23:04:19.973000
52451,84,1,0,1,2025-04-29 23:04:19.973000
52451,86,1,0,1,2025-04-29 23:04:19.973000
52451,87,1,0,1,2025-04-29 23:04:19.973000
52451,89,1,0,1,2025-04-29 23:04:19.973000
52453,40,1,0,1,2025-04-29 23:04:19.470000
52453,48,1,0,1,2025-04-29 23:04:19.470000
52453,49,1,0,1,2025-04-29 23:04:19.470000
52457,63,1,0,1,2025-04-29 23:04:19.403000
52457,65,1,0,1,2025-04-29 23:04:19.403000
52458,34,1,0,1,2025-04-29 23:04:19.403000
52458,36,1,0,1,2025-04-29 23:04:19.403000
52458,40,1,0,1,2025-04-29 23:04:19.403000
52459,23,1,190,1,2025-04-29 23:04:19.403000
52459,23,2,168,1,2025-04-29 23:04:19.407000
52459,23,3,219,1,2025-04-29 23:04:19.407000
52460,16,1,0,1,2025-04-29 23:04:19.410000
52461,21,1,190,1,2025-04-29 23:04:19.410000
52462,28,1,0,1,2025-04-29 23:04:19.410000
52462,30,1,0,1,2025-04-29 23:04:19.413000
52462,32,1,0,1,2025-04-29 23:04:19.413000
52463,28,1,0,1,2025-04-29 23:04:19.413000
52463,30,1,0,1,2025-04-29 23:04:19.417000
52463,32,1,0,1,2025-04-29 23:04:19.417000
52464,62,1,222,1,2025-04-29 23:04:19.423000
52464,62,2,190,1,2025-04-29 23:04:19.423000
52464,65,1,222,1,2025-04-29 23:04:19.423000
52464,65,2,190,1,2025-04-29 23:04:19.423000
52465,60,1,0,1,2025-04-29 23:04:19.430000
52465,65,1,0,1,2025-04-29 23:04:19.430000
52465,70,1,0,1,2025-04-29 23:04:19.430000
52465,72,1,0,1,2025-04-29 23:04:19.430000
52466,72,1,321,1,2025-04-29 23:04:19.430000
52466,72,2,190,1,2025-04-29 23:04:19.433000
52466,80,1,321,1,2025-04-29 23:04:19.430000
52466,80,2,190,1,2025-04-29 23:04:19.433000
52466,83,1,321,1,2025-04-29 23:04:19.430000
52466,83,2,190,1,2025-04-29 23:04:19.433000
52466,85,1,321,1,2025-04-29 23:04:19.430000
52466,85,2,190,1,2025-04-29 23:04:19.433000
52466,87,1,321,1,2025-04-29 23:04:19.430000
52466,87,2,190,1,2025-04-29 23:04:19.433000
52467,54,1,119,1,2025-04-29 23:04:19.433000
52467,54,2,330,1,2025-04-29 23:04:19.437000
52467,54,3,190,1,2025-04-29 23:04:19.437000
52468,22,1,190,1,2025-04-29 23:04:19.440000
52468,22,2,228,1,2025-04-29 23:04:19.440000
52469,28,1,190,1,2025-04-29 23:04:19.443000
52469,28,2,274,1,2025-04-29 23:04:19.443000
52470,18,1,0,1,2025-04-29 23:04:20.473000
52470,19,1,0,1,2025-04-29 23:04:20.473000
52474,37,1,0,1,2025-04-29 23:04:19.447000
52474,40,1,0,1,2025-04-29 23:04:19.447000
52476,27,1,190,1,2025-04-29 23:04:19.450000
52477,16,1,315,1,2025-04-29 23:04:19.450000
52477,16,2,190,1,2025-04-29 23:04:19.453000
52478,24,1,0,1,2025-04-29 23:04:19.457000
52478,26,1,0,1,2025-04-29 23:04:19.457000
52479,64,1,0,1,2025-04-29 23:04:19.460000
52479,67,1,0,1,2025-04-29 23:04:19.460000
52479,69,1,0,1,2025-04-29 23:04:19.460000
52479,73,1,0,1,2025-04-29 23:04:19.460000
52480,83,1,309,2,2025-04-30 18:55:53.630000
52480,86,1,309,2,2025-04-30 18:55:53.630000
52480,90,1,309,2,2025-04-30 18:55:53.630000
52481,27,1,208,1,2025-04-29 23:04:19.463000
