article_id,article_version,bill_code_id,bill_code_version,last_updated,description
52369,17,011,7,2026-07-14 22:42:58.407000,Hospital Inpatient (Including Medicare Part A)
52369,17,012,7,2026-07-14 22:42:58.407000,Hospital Inpatient (Medicare Part B only)
52369,17,013,7,2026-07-14 22:42:58.407000,Hospital Outpatient
52369,17,085,7,2026-07-14 22:42:58.407000,Critical Access Hospital
52430,12,085,7,2025-11-26 22:23:51.140000,Critical Access Hospital
52430,12,073,7,2025-11-26 22:23:51.133000,Clinic - Freestanding
52430,12,077,7,2025-11-26 22:23:51.137000,Clinic - Federally Qualified Health Center (FQHC)
52430,12,013,7,2025-11-26 22:23:51.127000,Hospital Outpatient
52430,12,012,7,2025-11-26 22:23:51.123000,Hospital Inpatient (Medicare Part B only)
52430,12,011,7,2025-11-26 22:23:51.120000,Hospital Inpatient (Including Medicare Part A)
52430,12,021,7,2025-11-26 22:23:51.127000,Skilled Nursing - Inpatient (Including Medicare Part A)
52430,12,022,7,2025-11-26 22:23:51.130000,Skilled Nursing - Inpatient (Medicare Part B only)
52430,12,071,7,2025-11-26 22:23:51.133000,Clinic - Rural Health
52432,14,071,7,2023-11-07 17:38:39.770000,Clinic - Rural Health
52432,14,011,7,2023-11-07 17:38:39.767000,Hospital Inpatient (Including Medicare Part A)
52432,14,013,7,2023-11-07 17:38:39.767000,Hospital Outpatient
52432,14,085,7,2023-11-07 17:38:39.770000,Critical Access Hospital
52435,14,085,7,2025-11-26 22:25:16.780000,Critical Access Hospital
52435,14,077,7,2025-11-26 22:25:16.777000,Clinic - Federally Qualified Health Center (FQHC)
52435,14,073,7,2025-11-26 22:25:16.773000,Clinic - Freestanding
52435,14,013,7,2025-11-26 22:25:16.763000,Hospital Outpatient
52435,14,011,7,2025-11-26 22:25:16.757000,Hospital Inpatient (Including Medicare Part A)
52435,14,012,7,2025-11-26 22:25:16.760000,Hospital Inpatient (Medicare Part B only)
52435,14,071,7,2025-11-26 22:25:16.773000,Clinic - Rural Health
52435,14,023,7,2025-11-26 22:25:16.770000,Skilled Nursing - Outpatient
52435,14,022,7,2025-11-26 22:25:16.767000,Skilled Nursing - Inpatient (Medicare Part B only)
52435,14,021,7,2025-11-26 22:25:16.763000,Skilled Nursing - Inpatient (Including Medicare Part A)
52437,17,012,7,2025-11-26 22:26:51.967000,Hospital Inpatient (Medicare Part B only)
52437,17,011,7,2025-11-26 22:26:51.963000,Hospital Inpatient (Including Medicare Part A)
52437,17,013,7,2025-11-26 22:26:51.970000,Hospital Outpatient
52437,17,085,7,2025-11-26 22:26:51.970000,Critical Access Hospital
52438,22,085,7,2025-09-18 20:45:40.890000,Critical Access Hospital
52438,22,013,7,2025-09-18 20:45:40.883000,Hospital Outpatient
52438,22,011,7,2025-09-18 20:45:40.880000,Hospital Inpatient (Including Medicare Part A)
52438,22,012,7,2025-09-18 20:45:40.880000,Hospital Inpatient (Medicare Part B only)
52438,22,022,7,2025-09-18 20:45:40.887000,Skilled Nursing - Inpatient (Medicare Part B only)
52438,22,023,7,2025-09-18 20:45:40.887000,Skilled Nursing - Outpatient
52470,19,012,7,2026-07-27 18:03:29.177000,Hospital Inpatient (Medicare Part B only)
52470,19,011,7,2026-07-27 18:03:29.177000,Hospital Inpatient (Including Medicare Part A)
52470,19,013,7,2026-07-27 18:03:29.180000,Hospital Outpatient
52470,19,085,7,2026-07-27 18:03:29.183000,Critical Access Hospital
52470,19,079,7,2026-07-27 18:03:29.183000,Clinic - Other
52825,12,085,7,2026-07-14 22:43:05.237000,Critical Access Hospital
52825,12,013,7,2026-07-14 22:43:05.237000,Hospital Outpatient
52825,12,012,7,2026-07-14 22:43:05.237000,Hospital Inpatient (Medicare Part B only)
52830,9,081,6,2026-07-28 17:58:37.117000,Hospice (non-Hospital based)
52830,9,082,6,2026-07-28 17:58:37.117000,Hospice (hospital based)
52837,21,085,7,2026-07-14 22:43:04.647000,Critical Access Hospital
52837,21,013,7,2026-07-14 22:43:04.647000,Hospital Outpatient
52840,3,013,5,2026-07-14 22:43:04.727000,Hospital Outpatient
52840,3,011,5,2026-07-14 22:43:04.727000,Hospital Inpatient (Including Medicare Part A)
52840,3,012,5,2026-07-14 22:43:04.727000,Hospital Inpatient (Medicare Part B only)
52840,3,071,5,2026-07-14 22:43:04.727000,Clinic - Rural Health
52840,3,021,5,2026-07-14 22:43:04.727000,Skilled Nursing - Inpatient (Including Medicare Part A)
52840,3,022,5,2026-07-14 22:43:04.727000,Skilled Nursing - Inpatient (Medicare Part B only)
52840,3,085,5,2026-07-14 22:43:04.727000,Critical Access Hospital
52840,3,077,5,2026-07-14 22:43:04.727000,Clinic - Federally Qualified Health Center (FQHC)
52840,3,073,5,2026-07-14 22:43:04.727000,Clinic - Freestanding
52845,8,032,7,2026-07-14 21:41:56.480000,Home Health Services under a plan of treatment
52986,242,999,7,2025-04-25 17:28:16.783000,Not Applicable
52992,30,085,7,2025-04-11 13:01:08.813000,Critical Access Hospital
52992,30,083,7,2025-04-11 13:01:08.810000,Ambulatory Surgery Center
52992,30,011,7,2025-04-11 13:01:08.803000,Hospital Inpatient (Including Medicare Part A)
