article_id,article_version,hcpc_code_group,paragraph,last_updated
52369,17,1,,2026-07-14 22:42:58.410000
52370,135,1,"<p>Effective 01/01/2026, HCPCS code Q5160 should be used to report bevacizumab-nwgd (jobevneTM), 10mg</p>
<p>Effective 04/01/2023, HCPCS code Q5129 should be used to report bevacizumab-adcd (Vegzelma&#174;). Effective 09/27/2022 through 03/31/2023 HCPCS code J3590 should be reported.<span style=""line-height: 107%;""><br /></span></p>
<p style=""line-height: normal;"">Effective 01/01/2023, HCPCS code Q5126 should be reported for bevacizumab-maly, biosimilar, (ALYMSYS1&#174;), 10 mg. Effective 10/01/2022 through 12/31/2022, HCPCS code C9142 Injection, bevacizumab-maly, biosimilar, (ALYMSYS&#174;), 10 mg has been added for services billed to the Part A MAC. HCPCS code J3590 should be reported for the Part B MAC.</p>
<p style=""line-height: normal;"">HCPCS code C9142, C9257, Q5107, Q5118 or Q5126 should be reported for treatment of approved ophthalmologic indications billed to the Part A MAC.<br /><br />HCPCS code C9142, J9035, Q5107, Q5118 or Q5126 (bill one unit per eye) should be reported for the treatment of approved ophthalmologic indications billed to the Part B MAC.</p>",2026-07-31 17:44:06.317000
52370,135,2,<p><u>Intravitreal injection code </u></p>,2026-07-31 17:44:06.347000
52379,10,1,,2026-07-14 22:42:59.290000
52399,75,1,,2026-07-16 16:30:41.893000
52420,64,1,"<p>Effective for dates of service on or after 04/01/2021, HCPCS code J7321 should be used to report Visco-3&trade;.</p>
<p>Report&nbsp;HCPCS code C9465 for&nbsp;Durolane&reg; when billed to the Part A MAC and HCPCS code J3490&nbsp;when billed to the Part B MAC for dates of service prior to 01/01/2019.</p>
<p>For dates of service on or after 10/01/2019 HCPCS code J7331 should be used to report Synojoynt&trade;.</p>
<p>For dates of service on or after 10/01/2019 HCPCS code J7332 should be used to report Triluron&trade;.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",2026-07-14 22:43:00.043000
52420,64,2,<p><u>Injection procedure codes</u></p>,2026-07-14 22:43:00.043000
52421,23,1,,2026-07-14 22:43:00.153000
52423,84,1,"<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",2026-07-14 22:43:00.377000
52430,12,1,,2025-11-26 22:23:51.150000
52432,14,1,,2023-11-07 17:38:39.787000
52434,51,1,"<p>CPT codes 96170, 96171 are not covered services.</p>",2026-07-14 22:43:04.873000
52435,14,1,,2025-11-26 22:25:16.797000
52437,17,1,,2025-11-26 22:26:52.073000
52438,22,1,,2025-09-18 20:45:40.897000
52447,30,1,,2026-07-14 22:43:04.947000
52448,24,1,,2026-07-14 22:43:01.550000
52450,83,1,"<p>Effective for dates of service from 7/1/2023 through 12/31/2024, HCPCS code J9259 should be used to report Injection, paclitaxel protein-bound particles (American regent).<span style=""line-height: 107%;""><br /><br /></span></p>
<p><span style=""line-height: 107%;""><br /><br /></span></p>",2026-07-14 22:43:02.067000
