article_id,article_version,hcpc_modifier_code_id,hcpc_modifier_code_version,hcpc_modifier_group,last_updated,description
52993,54,50,12,1,2024-10-18 13:42:54,"BILATERAL PROCEDURE: UNLESS OTHERWISE IDENTIFIED IN THE LISTINGS, BILATERAL PROCEDURES THAT ARE PERFORMED AT THE SAME OPERATIVE SESSION SHOULD BE IDENTIFIED BY ADDING THE MODIFIER -50 TO THE APPROPRIATE FIVE DIGIT CODE OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09950"
52998,50,F1,15,1,2026-01-23 14:04:06,"LEFT HAND, SECOND DIGIT"
52998,50,F2,15,1,2026-01-23 14:04:06,"LEFT HAND, THIRD DIGIT"
52998,50,F3,15,1,2026-01-23 14:04:06,"LEFT HAND, FOURTH DIGIT"
52998,50,F4,15,1,2026-01-23 14:04:06,"LEFT HAND, FIFTH DIGIT"
52998,50,F5,15,1,2026-01-23 14:04:06,"RIGHT HAND, THUMB"
52998,50,F6,15,1,2026-01-23 14:04:06,"RIGHT HAND, SECOND DIGIT"
52998,50,F7,15,1,2026-01-23 14:04:06,"RIGHT HAND, THIRD DIGIT"
52998,50,F8,15,1,2026-01-23 14:04:06,"RIGHT HAND, FOURTH DIGIT"
52998,50,F9,15,1,2026-01-23 14:04:06,"RIGHT HAND, FIFTH DIGIT"
52998,50,FA,15,1,2026-01-23 14:04:06,"LEFT HAND, THUMB"
52998,50,T1,15,1,2026-01-23 14:04:06,"LEFT FOOT, SECOND DIGIT"
52998,50,T2,15,1,2026-01-23 14:04:06,"LEFT FOOT, THIRD DIGIT"
52998,50,T3,15,1,2026-01-23 14:04:06,"LEFT FOOT, FOURTH DIGIT"
52998,50,T4,15,1,2026-01-23 14:04:06,"LEFT FOOT, FIFTH DIGIT"
52998,50,T5,15,1,2026-01-23 14:04:06,"RIGHT FOOT, GREAT TOE"
52998,50,T6,15,1,2026-01-23 14:04:06,"RIGHT FOOT, SECOND DIGIT"
52998,50,T7,15,1,2026-01-23 14:04:06,"RIGHT FOOT, THIRD DIGIT"
52998,50,T8,15,1,2026-01-23 14:04:06,"RIGHT FOOT, FOURTH DIGIT"
52998,50,T9,15,1,2026-01-23 14:04:06,"RIGHT FOOT, FIFTH DIGIT"
52998,50,TA,15,1,2026-01-23 14:04:06,"LEFT FOOT, GREAT TOE"
53008,56,50,14,1,2025-10-27 12:06:22.093000,"BILATERAL PROCEDURE: UNLESS OTHERWISE IDENTIFIED IN THE LISTINGS, BILATERAL PROCEDURES THAT ARE PERFORMED AT THE SAME OPERATIVE SESSION SHOULD BE IDENTIFIED BY ADDING THE MODIFIER -50 TO THE APPROPRIATE FIVE DIGIT CODE OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09950"
53008,56,LT,14,1,2025-10-27 12:06:22.093000,LEFT SIDE (USED TO IDENTIFY PROCEDURES PERFORMED ON THE LEFT SIDE OF THE BODY)
53008,56,RT,14,1,2025-10-27 12:06:22.093000,RIGHT SIDE (USED TO IDENTIFY PROCEDURES PERFORMED ON THE RIGHT SIDE OF THE BODY)
53024,22,JW,12,1,2025-09-16 14:35:05.063000,DRUG AMOUNT DISCARDED/NOT ADMINISTERED TO ANY PATIENT
53024,22,JZ,12,1,2025-09-16 14:35:05.063000,ZERO DRUG AMOUNT DISCARDED/NOT ADMINISTERED TO ANY PATIENT
53060,48,52,14,1,2025-08-14 12:47:17,"REDUCED SERVICES: UNDER CERTAIN CIRCUMSTANCES A SERVICE OR PROCEDURE IS PARTIALLY REDUCED OR ELIMINATED AT THE PHYSICIAN'S DISCRETION. UNDER THESE CIRCUMSTANCES THE SERVICE PROVIDED CAN BE IDENTIFIED BY ITS USUAL PROCEDURE NUMBER AND THE ADDITION OF THE MODIFIER -52, SIGNIFYING THAT THE SERVICE IS REDUCED. THIS PROVIDES A MEANS OF REPORTING REDUCED SERVICES WITHOUT DISTURBING THE IDENTIFICATION OF THE BASIC SERVICE. MODIFIER CODE 09952 MAY BE USED AS AN ALTERNATIVE TO MODIFIER -52. NOTE: FOR HOSPITAL OUTPATIENT REPORTING OF A PREVIOUSLY SCHEDULED PROCEDURE/SERVICE THAT IS PARTIALLY REDUCED OR CANCELLED AS A RESULT OF EXTENUATING CIRCUMSTANCES OR THOSE THAT THREATEN THE WELL-BEING OF THE PATIENT PRIOR TO OR AFTER ADMINISTRATION OF ANESTHESIA, SEE MODIFIERS -73 AND -74 (SEE MODIFIERS APPROVED FOR ASC HOSPITAL OUTPATIENT USE)."
53060,48,76,14,1,2025-08-14 12:47:17,REPEAT PROCEDURE BY SAME PHYSICIAN: THE PHYSICIAN MAY NEED TO INDICATE THAT A PROCEDURE OR SERVICE WAS REPEATED SUBSEQUENT TO THE ORIGINAL PROCEDURE OR SERVICE. THIS CIRCUMSTANCE MAY BE REPORTED BY ADDING THE MODIFIER -76 TO THE REPEATED PROCEDURE OR SERVICE OR THE SEPARATE FIVE DIGIT MODIFIER CODE 09976 MAY BE USED.
53060,48,79,14,1,2025-08-14 12:47:17,"UNRELATED PROCEDURE OR SERVICE BY THE SAME PHYSICIAN DURING THE POSTOPERATIVE PERIOD: THE PHYSICIAN MAY NEED TO INDICATE THAT THE PERFORMANCE OF A PROCEDURE OR SERVICE DURING THE POSTOPERATIVE PERIOD WAS UNRELATED TO THE ORIGINAL PROCEDURE. THIS CIRCUMSTANCE MAY BE REPORTED BY USING THE MODIFIER -79 OR BY USING THE SEPARATE FIVE DIGIT MODIFIER 09979. (FOR REPEAT PROCEDURES ON THE SAME DAY, SEE -76)."
