article_id,article_version,hcpc_modifier_group,paragraph,last_updated
52369,17,1,,2026-07-14 22:42:58.410000
52370,135,1,,2026-07-31 17:44:06.353000
52379,10,1,,2026-07-14 22:42:59.290000
52399,75,1,,2026-07-16 16:30:41.897000
52420,64,1,,2026-07-14 22:43:00.047000
52421,23,1,,2026-07-14 22:43:00.157000
52423,84,1,,2026-07-14 22:43:00.380000
52432,14,1,,2023-11-07 17:38:39.793000
52435,14,1,,2025-11-26 22:25:16.813000
52437,17,1,,2025-11-26 22:26:52.107000
52438,22,1,,2025-09-18 20:45:40.913000
52448,24,1,,2026-07-14 22:43:01.553000
52450,83,1,,2026-07-14 22:43:02.070000
52451,89,1,,2026-07-24 15:36:31.650000
52453,49,1,,2026-07-14 22:43:00.517000
52470,19,1,,2026-07-27 18:03:29.247000
52830,9,1,,2026-07-28 17:58:37.120000
52849,36,1,,2026-07-14 22:42:58.690000
52850,56,1,,2026-07-14 22:42:58.810000
52855,31,1,,2026-07-14 22:42:59.383000
52863,59,1,,2026-07-14 22:43:02.133000
52866,35,1,,2026-07-14 22:43:03.563000
52868,46,1,,2026-07-14 22:43:03.937000
52870,38,1,,2026-07-14 22:43:04.180000
52986,242,1,,2025-04-25 17:28:16.940000
52992,30,1,,2025-04-11 13:01:08.990000
52993,54,1,<p>N/A</p>,2024-10-18 13:42:54.597000
52996,31,1,,2025-09-26 13:52:26.830000
52998,50,1,,2026-01-23 14:04:06.287000
53001,45,1,,2026-01-23 14:04:57.337000
53006,14,1,,2019-12-12 15:59:00.577000
53008,56,1,,2025-10-27 12:06:22.090000
53018,14,1,,2026-07-14 22:43:03.710000
53024,22,1,,2025-09-16 14:35:05.060000
53026,65,1,<p>N/A</p>,2025-12-22 16:12:02.190000
53043,16,1,,2026-06-19 12:08:45.963000
53047,17,1,,2021-12-29 16:33:30.120000
53052,48,1,,2025-08-19 18:16:46.397000
53053,14,1,,2022-05-12 13:18:15.137000
53057,67,1,,2026-02-04 14:14:59.063000
53058,65,1,,2026-02-04 14:12:57.430000
53060,48,1,,2025-08-14 12:47:17.180000
53064,87,1,,2026-02-04 14:07:05.057000
53065,76,1,,2026-02-04 14:09:21.050000
53084,28,1,,2025-09-23 11:39:33.470000
53095,28,1,,2024-09-05 14:24:28.917000
53101,46,1,,2024-08-29 13:10:23.810000
53104,32,1,,2022-01-18 13:18:14.170000
53105,22,1,,2019-10-16 21:55:24.110000
